step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
320,0,183,0,39,0,131,0,38,0,5,0,4,0,0,0,0
321,0,194,0,43,0,122,0,35,0,3,0,3,0,0,0,0
322,0,193,0,43,0,124,0,34,0,2,0,4,0,0,0,0
323,0,195,0,43,0,120,0,34,0,4,0,4,0,0,0,0
324,0,186,0,44,0,128,0,33,0,5,0,4,0,0,0,0
325,0,199,0,41,0,118,0,36,0,3,0,3,0,0,0,0
326,0,198,0,40,0,119,0,37,0,3,0,3,0,0,0,0
327,0,182,0,41,0,134,0,36,0,2,0,5,0,0,0,0
328,0,197,0,37,0,123,0,39,0,1,0,3,0,0,0,0
329,0,184,0,40,0,131,0,39,0,3,0,3,0,0,0,0
330,0,181,0,38,0,136,0,38,0,3,0,4,0,0,0,0
331,0,199,0,43,0,115,0,38,0,4,0,1,0,0,0,0
332,0,194,0,39,0,122,0,39,0,4,0,2,0,0,0,0
333,0,188,0,43,0,126,0,37,0,4,0,2,0,0,0,0
334,0,207,0,34,0,111,0,40,0,3,0,5,0,0,0,0
335,0,189,0,49,0,127,0,28,0,3,0,4,0,0,0,0
336,0,187,0,40,0,130,0,34,0,4,0,5,0,0,0,0
337,0,188,0,40,0,127,0,40,0,3,0,2,0,0,0,0
338,0,188,0,40,0,128,0,36,0,4,0,4,0,0,0,0
339,0,190,0,43,0,124,0,38,0,4,0,1,0,0,0,0
340,0,199,0,40,0,116,0,36,0,6,0,3,0,0,0,0
341,0,185,0,44,0,127,0,35,0,7,0,2,0,0,0,0
342,0,198,0,39,0,121,0,37,0,2,0,3,0,0,0,0
343,0,189,0,39,0,127,0,36,0,4,0,5,0,0,0,0
344,0,188,0,42,0,131,0,34,0,2,0,3,0,0,0,0
345,0,175,0,47,0,139,0,31,0,4,0,4,0,0,0,0
346,0,179,0,44,0,139,0,30,0,3,0,5,0,0,0,0
347,0,182,0,45,0,134,0,33,0,3,0,3,0,0,0,0
348,0,187,0,43,0,130,0,33,0,4,0,3,0,0,0,0
349,0,184,0,43,0,132,0,36,0,2,0,3,0,0,0,0
350,0,175,0,44,0,140,0,31,0,6,0,4,0,0,0,0
351,0,178,0,37,0,137,0,42,0,4,0,2,0,0,0,0
352,0,184,0,42,0,133,0,33,0,4,0,4,0,0,0,0
353,0,178,0,42,0,139,0,33,0,3,0,5,0,0,0,0
354,0,183,0,42,0,136,0,33,0,2,0,4,0,0,0,0
355,0,190,0,48,0,125,0,30,0,3,0,4,0,0,0,0
356,0,196,0,44,0,121,0,31,0,4,0,4,0,0,0,0
357,0,179,0,43,0,135,0,35,0,5,0,3,0,0,0,0
358,0,196,0,40,0,121,0,35,0,5,0,3,0,0,0,0
359,0,187,0,40,0,126,0,37,0,7,0,3,0,0,0,0
360,0,185,0,40,0,132,0,38,0,4,0,1,0,0,0,0
361,0,186,0,44,0,127,0,34,0,6,0,3,0,0,0,0
362,0,193,0,42,0,123,0,35,0,5,0,2,0,0,0,0
